daoguang|道光帝
linzexu|林则徐
guantianpei|关天培
qishan|琦善
senggelinqin|僧格林沁
cixi|慈禧太后
guangxu|光绪帝
dengshichang|邓世昌
dingruchang|丁汝昌
yixin|奕䜣
zengguofan|曾国藩
lihongzhang|李鸿章
zuozongtang|左宗棠
zhangzhidong|张之洞
fengzicai|冯子材
hongxiuquan|洪秀全
yangxiuqing|杨秀清
shidakai|石达开
kangyouwei|康有为
liangqichao|梁启超
tansitong|谭嗣同
sunzhongshan|孙中山
huangxing|黄兴
songjiaoren|宋教仁
cai'e|蔡锷
qiujin|秋瑾
xuxilin|徐锡麟
yuanshikai|袁世凯
liyuanhong|黎元洪
duanqirui|段祺瑞
wupeifu|吴佩孚
zhangzuolin|张作霖
zhangxun|张巡
sun_chuanfang|孙传芳
jiangjieshi|蒋介石
wangjingwei|汪精卫
lizongren|李宗仁
baichongxi|白崇禧
fengyuxiang|冯玉祥
zhangxueliang|张学良
yanghucheng|杨虎城
tangshengzhi|唐生智
tonglinge|佟麟阁
zhaodengyu|赵登禹
zhangzizhong|张自忠
xiejinyuan|谢晋元
xueyue|薛岳
wei_lihuang|卫立煌
du_yuming|杜聿明
fuzuoyi|傅作义
yeting|叶挺
helong|贺龙
chenduxiu|陈独秀
lidazhao|李大钊
caiyuanpei|蔡元培
luxun|鲁迅
hushi|胡适
maozedong|毛泽东
zhouenlai|周恩来
zhu_de|朱德
pengdehuai|彭德怀
linbiao|林彪
liubocheng|刘伯承
dengxiaoping|邓小平
chenyi|陈毅
suyu|粟裕
luo_ronghuan|罗荣桓
nierongzhen|聂荣臻
zuoquan|左权
yangjingyu|杨靖宇
yitengbowen|伊藤博文
gangcunNingci|冈村宁次
huangdi|黄帝
yandi|炎帝
chiyou|蚩尤
yao|尧
shun|舜
yu|大禹
qi_xia|启
shangtang|商汤
yiyin|伊尹
pangen|盘庚
wuding|武丁
fuhao|妇好
zhouwu|周武王
jiangziya|姜子牙
zhougong|周公旦
zhouliwang|周厉王
zhouyouwang|周幽王
qihuangong|齐桓公
guanzhong|管仲
jinwengong|晋文公
jiezitui|介子推
goujian|勾践
fuchai|夫差
wuzixu|伍子胥
fanli|范蠡
kongzi|孔子
laozi|老子
mengzi|孟子
zhuangzi|庄子
mozi|墨子
xunzi|荀子
hanfei|韩非
likui|李悝
ximenbao|西门豹
wuqi|吴起
shangyang|商鞅
qinxiaogong|秦孝公
zhaowulingwang|赵武灵王
suqin|苏秦
zhangyi|张仪
linxiangru|蔺相如
lianpo|廉颇
quyuan|屈原
baiqi|白起
zhaokuo|赵括
xinlingjun|信陵君
jingke|荆轲
taizidan|燕太子丹
qinshihuang|秦始皇
lisi|李斯
wangjian|王翦
mengtian|蒙恬
libing|李冰
chensheng|陈胜
wuguang|吴广
xiangyu|项羽
liubang|刘邦
hanxin|韩信
zhangliang|张良
xiaohe|萧何
fanzeng|范增
hanwendi|汉文帝
hanjingdi|汉景帝
chaocuo|晁错
jiayi|贾谊
hanwudi|汉武帝
dongzhongshu|董仲舒
weiqing|卫青
huoqubing|霍去病
liguang|李广
zhangqian|张骞
simaqian|司马迁
huoguang|霍光
hanxuandi|汉宣帝
wangzhaojun|王昭君
huhanye|呼韩邪单于
wangmang|王莽
liuxiu|刘秀
dengyu|邓禹
banchao|班超
banggu|班固
cailun|蔡伦
zhangheng|张衡
zhangjiao|张角
hanlingdi|汉灵帝
huangfusong|皇甫嵩
dongzhuo|董卓
lvbu|吕布
caocao|曹操
yuanshao|袁绍
xuyou|许攸
xunyu|荀彧
liubei|刘备
zhugeliang|诸葛亮
guanyu|关羽
zhangfei|张飞
sunquan|孙权
zhouyu|周瑜
huanggai|黄盖
lusu|鲁肃
lvmeng|吕蒙
luxun_sanguo|陆逊
simayi|司马懿
simayan|司马炎
liushan|刘禅
jiangwei|姜维
jiananfeng|贾南风
liuyuan|刘渊
simarui|司马睿
wangdao|王导
zuti|祖逖
liukun|刘琨
xiaowendi|北魏孝文帝
fengtaihou|冯太后
fujian|苻坚
xiean|谢安
xiexuan|谢玄
zhuxu|朱序
wangxizhi|王羲之
zuchongzhi|祖冲之
taoyuanming|陶渊明
yangjian|隋文帝杨坚
yangguang|隋炀帝杨广
zhairang|翟让
limi|李泌
lishimin|唐太宗李世民
lijiancheng|李建成
weizheng|魏征
fangxuanling|房玄龄
xuanzang|玄奘
songzanganbu|松赞干布
wenchenggongzhu|文成公主
wuzetian|武则天
direnjie|狄仁杰
tangxuanzong|唐玄宗李隆基
yaochong|姚崇
libai|李白
dufu|杜甫
jianzhen|鉴真
anlushan|安禄山
guoziyi|郭子仪
huangchao|黄巢
zhuwen|朱温
chairong|柴荣
zhaokuangyin|赵匡胤
zhaopu|赵普
songzhenzong|宋真宗
kouzhun|寇准
xiaotaihou|萧太后
wanganshi|王安石
songshenzong|宋神宗
simaguang|司马光
sushi|苏轼
bisheng|毕昇
shenkuo|沈括
songhuizong|宋徽宗赵佶
songqinzong|宋钦宗赵桓
ligang|李纲
yuefei|岳飞
qinhui|秦桧
songgaozong|宋高宗赵构
hanshizhong|韩世忠
liqingzhao|李清照
xinqiji|辛弃疾
luyou|陆游
tiemuzhen|成吉思汗
yelyuchucai|耶律楚材
mengge|蒙哥
wangjian_song|王坚
hubilie|忽必烈
wentianxiang|文天祥
luxiufu|陆秀夫
guoshoujing|郭守敬
makeboluo|马可·波罗
hanshantong|韩山童
liufutong|刘福通
zhuyuanzhang|朱元璋
chenyouliang|陈友谅
xuda|徐达
changyuchun|常遇春
liuji|刘伯温
huweiyong|胡惟庸
lanyu|蓝玉
zhudi|明成祖朱棣
yaoguangxiao|姚广孝
fangxiaoru|方孝孺
zhenghe|郑和
xiejin|解缙
yuqian|于谦
mingyingzong|明英宗朱祁镇
yexian|也先
qijiguang|戚继光
yudayou|俞大猷
zhangjuzheng|张居正
hairui|海瑞
lishizhen|李时珍
songyingxing|宋应星
xuguangqi|徐光启
nuerhachi|努尔哈赤
huangtaiji|皇太极
yuanchonghuan|袁崇焕
lizicheng|李自成
chongzhen|崇祯帝朱由检
wusangui|吴三桂
duoergun|多尔衮
kangxi|康熙帝玄烨
galdan|噶尔丹
wobaxi|渥巴锡
qianlong|乾隆帝弘历
jiyun|纪昀（纪晓岚）
heshen|和珅
macaerni|马戛尔尼
shikefa|史可法
weiyuan|魏源
gongzizhen|龚自珍
yanfu|严复
zhengguanying|郑观应
zhantianyou|詹天佑
zhangjian|张謇
shengxuanhuai|盛宣怀
zhangtaiyan|章太炎
zurong|邹容
chentianhua|陈天华
pudianjun|蒲殿俊
jiangyiwu|蒋翊武
sunwu_wuchang|孙武
xiongbingkun|熊秉坤
liaozhongkai|廖仲恺
songqingling|宋庆龄
fengguozhang|冯国璋
zuobaogui|左宝贵
yezhichao|叶志超
niciansheng|聂士成
mazhanshan|马占山
zhaoshangzhi|赵尚志
zhaoyiman|赵一曼
songzheyuan|宋哲元
haomengling|郝梦龄
wangmingzhang|王铭章
fangxianjue|方先觉
tangenbo|汤恩伯
wangyaowu|王耀武
zhanglingfu|张灵甫
zhangzhizhong|张治中
xiangying|项英
chengeng|陈赓
qianzhuangfei|钱壮飞
quqiubai|瞿秋白
zhangwentian|张闻天
wangjiaxiang|王稼祥
renbishi|任弼时
liushaoqi|刘少奇
dongbiwu|董必武
heshuheng|何叔衡
fangzhimin|方志敏
liuzhidan|刘志丹
pengxuefeng|彭雪枫
chenyannian|陈延年
caihesen|蔡和森
xiangjingyu|向警予
jiangzhujun|江竹筠（江姐）
liuhulan|刘胡兰
dongcunrui|董存瑞
zhangside|张思德
baiqiuwen|白求恩
huangjiguang|黄继光
qiushaoyun|邱少云
linxiangqian|林祥谦
shiyang|施洋
guzhenghong|顾正红
zhangtailei|张太雷
yejianying|叶剑英
jihongchang|吉鸿昌
xubeihong|徐悲鸿
nieer|聂耳
tianhan|田汉
xianxinghai|冼星海
wenyiduo|闻一多
zhuziqing|朱自清
taoxingzhi|陶行知
meiyiqi|梅贻琦
maodun|茅盾
dingling|丁玲
xushiyou|许世友
qianxuesen|钱学森
dengjiaxian|邓稼先
qiansanqiang|钱三强
guoyonghuai|郭永怀
yuanlongping|袁隆平
tuyouyou|屠呦呦
jiaoyulu|焦裕禄
wangjinxi|王进喜
leifeng|雷锋
yangliwei|杨利伟
nikesong|尼克松
jisinge|基辛格
chenyun|陈云
huyaobang|胡耀邦
zhurongji|朱镕基
huangyueying|黄月英
xiaoqiao|小乔
caopi|曹丕
caozhi|曹植
simashi|司马师
simazhao|司马昭
zhangsun_huanghou|长孙皇后
lizhi|李治（唐高宗）
duguoqieluo|独孤伽罗
mahuanghou|马皇后
yongzheng|雍正帝胤禛
yueyun|岳云
suxun|苏洵
suzhe|苏辙
wangxianzhi|王献之
songmeiling|宋美龄
xiaofengxian|小凤仙
zhaomingcheng|赵明诚
xiaozhuang|孝庄文皇后
yangkaihui|杨开慧
hezhizhen|贺子珍
jiangqing_mao|江青
maoanying|毛岸英
qinzhaoxiangwang|秦昭襄王
zugeng|祖暅
